fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality label
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,FAIL
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,FAIL
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,FAIL
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,PASS
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,FAIL
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,FAIL
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,FAIL
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,PASS
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,PASS
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,PASS
